trial  XDAT   ttype  cond   occur  face#  roi#   x      y      w      h      	
1	11	1	1	1	0	1	287.8	175.5	73.8	129.0	
1	11	1	1	1	0	2	292.3	206.4	54.5	26.2	
1	11	1	1	1	0	3	302.3	232.2	26.0	21.7	
1	11	1	1	1	0	4	297.0	254.5	37.9	19.3	
2	12	1	1	1	0	1	284.0	174.7	76.9	129.6	
2	12	1	1	1	0	2	293.6	203.4	59.8	25.3	
2	12	1	1	1	0	3	309.5	228.3	27.8	23.4	
2	12	1	1	1	0	4	303.1	251.5	40.0	19.2	
3	13	1	1	1	0	1	281.8	179.4	74.9	124.8	
3	13	1	1	1	0	2	301.1	208.4	52.2	25.5	
3	13	1	1	1	0	3	318.3	233.6	26.0	22.1	
3	13	1	1	1	0	4	311.7	255.6	36.0	19.2	
4	111	2	1	1	0	1	288.2	177.7	73.9	127.3	
4	111	2	1	1	0	2	290.1	210.3	57.4	24.0	
4	111	2	1	1	0	3	298.7	233.9	31.8	23.0	
4	111	2	1	1	0	4	294.7	256.7	41.0	20.5	
4	111	2	1	1	1	1	199.5	179.1	82.6	119.7	
4	111	2	1	1	1	2	202.7	207.9	60.6	24.6	
4	111	2	1	1	1	3	213.8	232.1	32.8	21.8	
4	111	2	1	1	1	4	209.4	253.8	45.4	22.1	
4	111	2	1	1	2	1	369.9	180.7	75.0	115.8	
4	111	2	1	1	2	2	369.8	205.4	59.2	24.6	
4	111	2	1	1	2	3	380.2	229.6	30.4	20.2	
4	111	2	1	1	2	4	377.4	249.6	39.8	21.7	
5	112	2	1	1	0	1	362.6	170.0	75.0	126.7	
5	112	2	1	1	0	2	370.7	199.9	58.1	23.6	
5	112	2	1	1	0	3	386.6	223.2	29.1	22.8	
5	112	2	1	1	0	4	379.7	245.6	46.3	20.8	
5	112	2	1	1	1	1	196.3	170.1	83.8	124.4	
5	112	2	1	1	1	2	203.4	192.6	69.6	26.1	
5	112	2	1	1	1	3	224.2	219.0	31.5	25.3	
5	112	2	1	1	1	4	218.2	244.5	44.3	22.1	
5	112	2	1	1	2	1	285.0	171.0	72.6	125.4	
5	112	2	1	1	2	2	289.8	198.3	60.0	24.0	
5	112	2	1	1	2	3	302.9	221.9	32.2	22.4	
5	112	2	1	1	2	4	297.8	244.5	42.6	25.3	
6	113	2	1	1	0	1	371.4	171.1	77.8	127.6	
6	113	2	1	1	0	2	389.6	202.6	55.8	24.6	
6	113	2	1	1	0	3	408.8	226.9	29.3	23.7	
6	113	2	1	1	0	4	398.9	250.5	40.5	19.6	
6	113	2	1	1	1	1	195.2	177.1	78.9	120.6	
6	113	2	1	1	1	2	211.4	200.9	58.7	24.2	
6	113	2	1	1	1	3	233.8	224.9	29.8	22.4	
6	113	2	1	1	1	4	225.0	247.1	38.9	22.4	
6	113	2	1	1	2	1	283.8	175.7	75.2	123.5	
6	113	2	1	1	2	2	298.8	197.9	56.7	26.2	
6	113	2	1	1	2	3	317.9	223.8	31.2	22.4	
6	113	2	1	1	2	4	310.9	246.7	41.3	23.6	
7	21	1	1	1	0	1	285.6	175.0	78.6	128.9	
7	21	1	1	1	0	2	290.1	198.1	62.1	25.3	
7	21	1	1	1	0	3	300.2	223.0	31.4	22.8	
7	21	1	1	1	0	4	295.8	245.5	39.7	25.9	
8	22	1	1	1	0	1	278.4	175.6	87.4	127.3	
8	22	1	1	1	0	2	288.6	196.6	65.9	24.6	
8	22	1	1	1	0	3	307.4	221.5	31.5	24.0	
8	22	1	1	1	0	4	302.4	246.0	41.8	28.5	
9	23	1	1	1	0	1	273.6	176.0	85.3	128.2	
9	23	1	1	1	0	2	295.4	196.0	58.7	24.6	
9	23	1	1	1	0	3	315.2	220.9	31.4	24.3	
9	23	1	1	1	0	4	309.8	245.4	40.5	29.1	
10	121	2	1	1	0	1	290.1	167.7	74.1	120.6	
10	121	2	1	1	0	2	293.8	188.4	55.8	23.3	
10	121	2	1	1	0	3	302.1	211.4	28.6	20.1	
10	121	2	1	1	0	4	298.4	231.5	36.8	25.3	
10	121	2	1	1	1	1	205.9	168.0	74.1	117.3	
10	121	2	1	1	1	2	208.8	189.9	57.5	24.2	
10	121	2	1	1	1	3	218.7	214.5	30.2	21.5	
10	121	2	1	1	1	4	216.0	236.3	36.8	20.8	
10	121	2	1	1	2	1	369.9	166.4	74.4	122.5	
10	121	2	1	1	2	2	373.3	187.6	52.3	24.2	
10	121	2	1	1	2	3	379.7	211.5	31.4	23.4	
10	121	2	1	1	2	4	378.7	234.6	38.6	23.1	
11	122	2	1	1	0	1	372.8	179.1	73.1	109.1	
11	122	2	1	1	0	2	379.1	197.0	56.9	23.0	
11	122	2	1	1	0	3	395.4	220.3	28.5	19.2	
11	122	2	1	1	0	4	389.4	239.5	38.4	24.0	
11	122	2	1	1	1	1	202.2	177.7	77.3	109.1	
11	122	2	1	1	1	2	207.2	196.6	66.2	23.0	
11	122	2	1	1	1	3	224.3	219.3	30.6	21.4	
11	122	2	1	1	1	4	220.3	240.5	40.5	23.3	
11	122	2	1	1	2	1	287.2	178.1	80.5	113.0	
11	122	2	1	1	2	2	297.1	194.0	59.0	24.0	
11	122	2	1	1	2	3	312.3	218.2	29.9	22.8	
11	122	2	1	1	2	4	308.0	241.0	39.7	23.7	
12	123	2	1	1	0	1	363.5	170.4	76.5	115.5	
12	123	2	1	1	0	2	383.7	188.9	53.6	23.6	
12	123	2	1	1	0	3	401.3	212.2	30.2	20.2	
12	123	2	1	1	0	4	397.8	232.1	36.2	24.0	
12	123	2	1	1	1	1	198.1	171.4	75.0	110.3	
12	123	2	1	1	1	2	212.2	188.3	58.1	24.0	
12	123	2	1	1	1	3	232.5	212.5	30.7	22.4	
12	123	2	1	1	1	4	226.4	234.7	40.5	23.0	
12	123	2	1	1	2	1	282.9	168.4	71.8	117.1	
12	123	2	1	1	2	2	293.8	188.9	57.4	23.3	
12	123	2	1	1	2	3	312.6	212.5	32.5	22.1	
12	123	2	1	1	2	4	309.0	234.7	39.5	19.5	
13	31	1	1	1	0	1	287.2	175.6	83.0	124.7	
13	31	1	1	1	0	2	287.9	197.4	63.5	28.1	
13	31	1	1	1	0	3	297.9	225.2	32.8	23.0	
13	31	1	1	1	0	4	293.6	248.6	46.7	24.6	
14	32	1	1	1	0	1	281.0	174.7	83.5	127.3	
14	32	1	1	1	0	2	288.7	198.6	66.2	26.8	
14	32	1	1	1	0	3	306.7	225.2	30.7	23.4	
14	32	1	1	1	0	4	298.9	248.4	46.7	24.6	
15	33	1	1	1	0	1	269.4	175.4	88.3	125.7	
15	33	1	1	1	0	2	292.7	196.7	63.3	28.1	
15	33	1	1	1	0	3	315.5	224.5	32.5	23.7	
15	33	1	1	1	0	4	305.4	248.7	45.4	23.3	
16	131	2	1	1	0	1	372.0	180.7	76.6	110.6	
16	131	2	1	1	0	2	374.9	195.4	55.6	25.2	
16	131	2	1	1	0	3	381.3	220.9	31.2	21.8	
16	131	2	1	1	0	4	384.4	242.5	31.8	19.1	
16	131	2	1	1	1	1	206.7	179.4	65.6	111.0	
16	131	2	1	1	1	2	208.2	201.4	50.0	23.3	
16	131	2	1	1	1	3	213.0	224.3	26.1	20.5	
16	131	2	1	1	1	4	209.6	245.2	34.2	20.5	
16	131	2	1	1	2	1	285.3	184.1	77.4	108.8	
16	131	2	1	1	2	2	288.2	200.1	57.5	25.2	
16	131	2	1	1	2	3	297.1	225.1	30.6	22.4	
16	131	2	1	1	2	4	295.5	247.8	39.4	21.1	
17	132	2	1	1	0	1	370.4	176.1	77.9	121.9	
17	132	2	1	1	0	2	376.4	198.7	63.1	26.5	
17	132	2	1	1	0	3	391.8	224.9	31.8	23.1	
17	132	2	1	1	0	4	384.2	247.8	45.6	21.1	
17	132	2	1	1	1	1	195.2	170.1	81.7	125.1	
17	132	2	1	1	1	2	202.0	190.0	67.6	31.3	
17	132	2	1	1	1	3	220.5	221.0	32.6	23.1	
17	132	2	1	1	1	4	216.3	243.8	43.4	22.7	
17	132	2	1	1	2	1	283.9	176.4	81.1	117.1	
17	132	2	1	1	2	2	292.4	196.6	64.3	24.9	
17	132	2	1	1	2	3	310.3	221.2	27.6	21.1	
17	132	2	1	1	2	4	301.9	242.8	41.4	21.5	
18	133	2	1	1	0	1	199.5	178.4	73.9	116.8	
18	133	2	1	1	0	2	216.7	201.4	54.0	24.0	
18	133	2	1	1	0	3	235.7	225.0	28.2	19.5	
18	133	2	1	1	0	4	229.6	244.5	37.6	20.5	
18	133	2	1	1	1	1	283.4	180.4	74.2	116.1	
18	133	2	1	1	1	2	299.1	199.4	55.5	25.2	
18	133	2	1	1	1	3	315.7	224.2	30.1	23.1	
18	133	2	1	1	1	4	310.4	247.1	38.9	21.1	
18	133	2	1	1	2	1	365.3	179.1	74.4	116.5	
18	133	2	1	1	2	2	382.1	200.1	54.3	26.8	
18	133	2	1	1	2	3	398.9	227.3	31.7	20.2	
18	133	2	1	1	2	4	392.8	247.8	40.0	22.1	
19	41	1	1	1	0	1	285.6	175.4	85.3	127.3	
19	41	1	1	1	0	2	287.9	191.6	66.2	32.6	
19	41	1	1	1	0	3	299.5	224.5	35.2	26.0	
19	41	1	1	1	0	4	297.1	250.0	43.5	20.4	
20	42	1	1	1	0	1	275.7	175.6	88.5	127.9	
20	42	1	1	1	0	2	284.7	192.0	70.3	30.3	
20	42	1	1	1	0	3	304.7	222.7	33.1	25.3	
20	42	1	1	1	0	4	298.9	248.0	43.4	21.1	
21	43	1	1	1	0	1	268.0	174.1	88.1	130.5	
21	43	1	1	1	0	2	286.1	190.7	67.6	34.9	
21	43	1	1	1	0	3	309.9	225.9	33.4	25.6	
21	43	1	1	1	0	4	305.3	251.6	41.8	21.8	
22	141	2	1	1	0	1	284.0	182.7	74.4	109.1	
22	141	2	1	1	0	2	286.4	198.4	54.3	29.7	
22	141	2	1	1	0	3	296.8	228.4	30.1	20.2	
22	141	2	1	1	0	4	293.6	248.5	38.2	19.6	
22	141	2	1	1	1	1	204.8	180.4	69.9	111.7	
22	141	2	1	1	1	2	207.1	198.7	53.7	24.0	
22	141	2	1	1	1	3	214.2	222.3	30.9	22.1	
22	141	2	1	1	1	4	213.4	244.8	37.0	20.1	
22	141	2	1	1	2	1	372.3	181.4	70.9	110.0	
22	141	2	1	1	2	2	373.9	200.0	53.7	24.9	
22	141	2	1	1	2	3	381.8	225.3	29.0	23.0	
22	141	2	1	1	2	4	378.4	248.7	40.3	19.5	
23	142	2	1	1	0	1	367.2	178.4	76.3	119.9	
23	142	2	1	1	0	2	374.1	199.4	60.7	28.1	
23	142	2	1	1	0	3	387.7	227.8	33.3	20.8	
23	142	2	1	1	0	4	383.8	248.5	40.5	18.9	
23	142	2	1	1	1	1	196.0	179.1	76.0	117.8	
23	142	2	1	1	1	2	202.8	196.9	61.1	25.5	
23	142	2	1	1	1	3	217.6	222.8	33.3	22.4	
23	142	2	1	1	1	4	213.9	245.0	38.9	21.4	
23	142	2	1	1	2	1	283.4	178.7	70.5	119.0	
23	142	2	1	1	2	2	292.2	199.1	55.6	25.9	
